hvac_on,outdoor_temp,outdoor_rh,return_temp,mixed_temp,supply_temp,return_rh,mixed_rh,supply_rh,outdoor_co2_ppm,return_co2_ppm,mixed_co2_ppm,supply_co2_ppm,total_flow_kg_s,oa_flow_kg_s,recirc_flow_kg_s,chw_flow_kg_s,chw_flow_m3_min,coil_load_kw,coil_load_latent_kw,coil_load_sensible_kw,chiller_power_kw,coil_valve_pos,chw_t_in,chw_t_out,fan_power_kw,chw_pump_power_kw,chw_pump_dp_pa,chw_pump_inv,fan_dp_pa,supply_static_pa,fan_flow_m3_min,coil_dp_pa,supply_trunk_dp_pa,return_trunk_dp_pa,fan_inv,zone1_temp,zone1_flow_kg_s,zone1_damper,zone1_dp_pa,zone1_co2_ppm,zone1_rh,zone1_occupancy,zone2_temp,zone2_flow_kg_s,zone2_damper,zone2_dp_pa,zone2_co2_ppm,zone2_rh,zone2_occupancy,zone3_temp,zone3_flow_kg_s,zone3_damper,zone3_dp_pa,zone3_co2_ppm,zone3_rh,zone3_occupancy,zone4_temp,zone4_flow_kg_s,zone4_damper,zone4_dp_pa,zone4_co2_ppm,zone4_rh,zone4_occupancy,oa_damper,ra_damper,ea_damper
False,26.9,84.0,27.75,26.9,,50.01412393026977,84.0,84.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.027693709077695,0.0,0.0,0.0,420.0,49.97164643461095,0.0,27.52748554885528,0.0,0.0,0.0,420.0,49.96993859925738,0.0,27.22536220108671,0.0,0.0,0.0,420.0,49.97502824649808,0.0,28.326766304121065,0.0,0.0,0.0,420.0,49.969263557147706,0.0,0.0,0.0,0.0
False,26.93,83.9,27.776826940785188,26.93,,49.985569813980206,83.89999999999999,83.89999999999999,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.051785922624376,0.0,0.0,0.0,420.0,49.95373604949776,0.0,27.55141848661716,0.0,0.0,0.0,420.0,49.950229443141055,0.0,27.24746505109169,0.0,0.0,0.0,420.0,49.95957306624321,0.0,28.350039176614455,0.0,0.0,0.0,420.0,49.94865268152435,0.0,0.0,0.0,0.0
False,26.959999999999997,83.8,27.800177159236924,26.959999999999997,,49.967128629285426,83.8,83.8,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.07279101064922,0.0,0.0,0.0,420.0,49.944755649519735,0.0,27.57230550790176,0.0,0.0,0.0,420.0,49.93937528111807,0.0,27.26677327973382,0.0,0.0,0.0,420.0,49.952260488303594,0.0,28.37031728494625,0.0,0.0,0.0,420.0,49.93670235904552,0.0,0.0,0.0,0.0
False,26.99,83.7,27.820546770807766,26.99,,49.95733752299628,83.70000000000003,83.70000000000003,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.091150205709415,0.0,0.0,0.0,420.0,49.94341285135531,0.0,27.590581358777392,0.0,0.0,0.0,420.0,49.936097067836606,0.0,27.283685671657302,0.0,0.0,0.0,420.0,49.951916176737214,0.0,28.38802843981314,0.0,0.0,0.0,420.0,49.93216112989091,0.0,0.0,0.0,0.0
False,27.02,83.6,27.83836141898931,27.02,,49.954946759340956,83.59999999999998,83.59999999999998,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.107242002019195,0.0,0.0,0.0,420.0,49.94860302909951,0.0,27.60661905297917,0.0,0.0,0.0,420.0,49.93930134645822,0.0,27.29854442384693,0.0,0.0,0.0,420.0,49.9575357325661,0.0,28.403539663151104,0.0,0.0,0.0,420.0,49.93395917765742,0.0,0.0,0.0,0.0
False,27.05,83.5,27.8539862854991,27.05,,49.95888789201242,83.5,83.5,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.121391075953063,0.0,0.0,0.0,420.0,49.9593814227338,0.0,27.620738637489303,0.0,0.0,0.0,420.0,49.948052717741554,0.0,27.31164317525326,0.0,0.0,0.0,420.0,49.96825959178942,0.0,28.417165825585037,0.0,0.0,0.0,420.0,49.941181388323244,0.0,0.0,0.0,0.0
False,27.08,83.4,27.867734678570166,27.08,,49.96824689056274,83.4,83.4,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.13387593818001,0.0,0.0,0.0,420.0,49.974939548321146,0.0,27.633214713463467,0.0,0.0,0.0,420.0,49.961550548325455,0.0,27.323233897037333,0.0,0.0,0.0,420.0,49.98335176271896,0.0,28.429177056586905,0.0,0.0,0.0,420.0,49.9530445536444,0.0,0.0,0.0,0.0
False,27.11,83.3,27.879875401316927,27.11,,49.98224139870147,83.3,83.3,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.144935497772778,0.0,0.0,0.0,420.0,49.994585205900464,0.0,27.64428288923577,0.0,0.0,0.0,420.0,49.97910922577945,0.0,27.333532805109687,0.0,0.0,0.0,420.0,50.00218178175159,0.0,28.4398051017277,0.0,0.0,0.0,420.0,49.968878043375604,0.0,0.0,0.0,0.0
False,27.14,83.2,27.89063907346148,27.14,,50.00020145124458,83.20000000000002,83.20000000000002,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.154774692993886,0.0,0.0,0.0,420.0,50.01772550638236,0.0,27.654145317040086,0.0,0.0,0.0,420.0,50.00014139094204,0.0,27.34272543369724,0.0,0.0,0.0,420.0,50.0242093754916,0.0,28.449248776630178,0.0,0.0,0.0,420.0,49.98810739031212,0.0,0.0,0.0,0.0
False,27.169999999999998,83.1,27.90022355509035,27.169999999999998,,50.02155309560281,83.09999999999998,83.09999999999998,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.163569321463765,0.0,0.0,0.0,420.0,50.04385243932663,0.0,27.662975443553858,0.0,0.0,0.0,420.0,50.024143676862344,0.0,27.350970988985793,0.0,0.0,0.0,420.0,50.04897140486303,0.0,28.457678645971832,0.0,0.0,0.0,420.0,50.01024032833086,0.0,0.0,0.0,0.0
